start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,0,1.06e-07,0,-2.0,0,0.000108,0
10.0,21.5443469003,7,2.03e-07,0,-2.0,0,0.000206,0
21.5443469003,46.4158883361,2,7.11e-08,0,-2.0,0,7.23e-05,0
46.4158883361,100.0,26,8.28e-05,3.43e-05,-2.75,0.663,3.07e-08,1.68e-08
100.0,215.443469003,28,1.76e-05,9.26e-06,-1.87,0.37,2.79e-08,2.48e-08
215.443469003,384.97299999,60,2.66e-05,6.76e-06,-2.19,0.236,1.94e-08,8.72e-09
4644.30755091,6113.97299999,6,1.56e-09,0,-2.0,0,1.58e-06,0
9053.97299999,9276.4615221,2,5.18e-09,0,-2.0,0,5.27e-06,0
