start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,10,2.08e-07,0,-2.0,0,0.000212,0
10.0,21.5443469003,0,8.83e-08,0,-2.0,0,8.98e-05,0
21.5443469003,46.4158883361,1,4.92e-08,0,-2.0,0,5.01e-05,0
46.4158883361,100.0,11,5.34e-08,0,-2.0,0,5.43e-05,0
100.0,215.443469003,0,1.37e-08,0,-2.0,0,1.39e-05,0
215.443469003,464.158883361,3,5.47e-09,0,-2.0,0,5.56e-06,0
464.158883361,1000.0,0,1.88e-09,0,-2.0,0,1.91e-06,0
1000.0,1632.23905373,0,3.11e-09,0,-2.0,0,3.17e-06,0
1645.06379807,1734.75400001,0,2.75e-08,0,-2.0,0,2.8e-05,0
