start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
104.666000009,215.443469003,5,3.64e-08,0,-2.0,0,3.7e-05,0
215.443469003,464.158883361,24,3.49e-05,9.88e-06,-2.44,0.264,1.74e-08,7.23e-09
464.158883361,1000.0,20,1.36e-05,4.01e-06,-3.56,0.572,3.59e-09,1.18e-09
1000.0,1077.66600001,13,2.85e-08,0,-2.0,0,2.9e-05,0
3987.66600001,4217.15127289,5,6.86e-09,0,-2.0,0,6.97e-06,0
4230.70865273,4641.58883361,0,2.52e-09,0,-2.0,0,2.56e-06,0
4641.58883361,6810.66600001,0,7.91e-10,0,-2.0,0,8.04e-07,0
