start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,786,0.00249,0.00029,-2.08,0.111,2.27e-06,5.54e-07
10.0,21.5443469003,1157,0.00264,0.000269,-1.85,0.0807,4.44e-06,1.03e-06
21.5443469003,46.4158883361,600,0.000701,9.37e-05,-1.85,0.105,1.17e-06,3.52e-07
46.4158883361,100.0,257,0.000177,3.07e-05,-1.82,0.131,3.2e-07,1.23e-07
100.0,215.443469003,146,6.26e-05,1.14e-05,-2.08,0.173,5.7e-08,2.18e-08
215.443469003,464.158883361,206,2.09e-05,4.67e-06,-1.77,0.16,4.41e-08,2.1e-08
464.158883361,804.287,63,1.14e-05,3.49e-06,-2.68,0.407,4.46e-09,1.71e-09
3748.287,4641.58883361,7,2.72e-09,0,-2.0,0,2.76e-06,0
4641.58883361,6538.287,1,8.93e-10,0,-2.0,0,9.08e-07,0
9484.60136497,9994.287,0,1.92e-09,0,-2.0,0,1.96e-06,0
