start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,51,0.000303,0.000112,-2.47,0.45,1.46e-07,8.37e-08
10.0,21.5443469003,462,0.00148,0.000216,-2.06,0.136,1.41e-06,4.36e-07
21.5443469003,46.4158883361,670,0.000965,0.000118,-1.86,0.0967,1.54e-06,4.17e-07
46.4158883361,100.0,453,0.000457,5.98e-05,-1.93,0.105,5.98e-07,1.61e-07
100.0,215.443469003,538,0.000235,2.61e-05,-2.01,0.095,2.54e-07,5.79e-08
215.443469003,464.158883361,1036,0.000149,1.6e-05,-2.18,0.103,1.11e-07,2.13e-08
464.158883361,475.180000007,76,0.000169,5.99e-05,-2.1,0.41,1.49e-07,1.38e-07
3415.18000001,4641.58883361,90,5.28e-06,4.3e-06,-1.98,0.503,6.2e-09,2.87e-09
4641.58883361,4786.66669738,3,1.17e-08,0,-2.0,0,1.19e-05,0
4800.20964587,6210.18000001,64,3.88e-06,1.16e-06,-1.98,0.232,4.49e-09,2.41e-09
