start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
36.6140000224,46.4158883361,18,0.000137,0.000103,-1.36,0.445,1.09e-06,1.58e-06
46.4158883361,100.0,2,1.09e-07,0,-2.0,0,0.00011,0
100.0,215.443469003,22,2.98e-05,1.21e-05,-2.44,0.41,1.48e-08,7.79e-09
215.443469003,464.158883361,62,7.66e-06,2.83e-06,-1.7,0.251,2.02e-08,1.57e-08
464.158883361,1000.0,17,3.31e-06,1.48e-06,-2.18,0.423,2.47e-09,1.93e-09
1000.0,1793.61400002,7,2.2e-09,0,-2.0,0,2.24e-06,0
4703.61400002,4910.10140634,0,3.89e-09,0,-2.0,0,3.96e-06,0
4923.64476019,7503.61400002,0,4.65e-10,0,-2.0,0,4.73e-07,0
