start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,0,7.6e-08,0,-2.0,0,7.73e-05,0
10.0,21.5443469003,0,6.63e-08,0,-2.0,0,6.74e-05,0
21.5443469003,46.4158883361,6,5.42e-08,0,-2.0,0,5.51e-05,0
46.4158883361,100.0,30,3.12e-05,1.22e-05,-2.32,0.415,1.83e-08,1.18e-08
100.0,215.443469003,31,1.81e-05,7.52e-06,-1.97,0.326,2.15e-08,1.67e-08
215.443469003,464.158883361,10,1.41e-08,0,-2.0,0,1.44e-05,0
464.158883361,876.719999999,26,7.54e-06,4.75e-06,-1.84,0.409,1.3e-08,1.28e-08
4918.72,6868.72,0,1.21e-09,0,-2.0,0,1.23e-06,0
