start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,5,1.51e-07,0,-2.0,0,0.000153,0
10.0,21.5443469003,0,7.54e-08,0,-2.0,0,7.66e-05,0
21.5443469003,46.4158883361,0,2.67e-08,0,-2.0,0,2.71e-05,0
46.4158883361,100.0,0,1.34e-08,0,-2.0,0,1.37e-05,0
100.0,215.443469003,1,1.02e-08,0,-2.0,0,1.04e-05,0
215.443469003,464.158883361,4,5.38e-09,0,-2.0,0,5.47e-06,0
464.158883361,1000.0,0,3.15e-09,0,-2.0,0,3.2e-06,0
1000.0,1680.48700005,0,1.63e-09,0,-2.0,0,1.65e-06,0
