start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,0,1.8e-07,0,-2.0,0,0.000183,0
10.0,21.5443469003,0,1.56e-07,0,-2.0,0,0.000158,0
21.5443469003,44.8336241841,0,1.39e-07,0,-2.0,0,0.000142,0
45.1949610114,46.4158883361,0,1.28e-06,0,-2.0,0,0.0013,0
46.4158883361,100.0,2,7.49e-08,0,-2.0,0,7.62e-05,0
100.0,215.443469003,1,2.47e-08,0,-2.0,0,2.51e-05,0
215.443469003,464.158883361,31,5.87e-06,2.93e-06,-1.71,0.315,1.5e-08,1.41e-08
464.158883361,794.539870977,12,5.87e-09,0,-2.0,0,5.97e-06,0
795.208709776,1000.0,0,4.02e-09,0,-2.0,0,4.09e-06,0
1000.0,1153.08915609,1,9.55e-09,0,-2.0,0,9.71e-06,0
