start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,7,2.25e-07,0,-2.0,0,0.000229,0
10.0,21.5443469003,29,0.000287,0.000114,-4.27,1.14,6.64e-08,2.8e-08
21.5443469003,46.4158883361,18,8.75e-05,4.33e-05,-5.32,1.72,1.83e-08,9e-09
46.4158883361,100.0,28,7.45e-05,2.86e-05,-5.66,1.7,1.53e-08,5.97e-09
100.0,116.60800004,0,6.88e-08,0,-2.0,0,6.99e-05,0
2216.60800004,3132.09335226,7,3.43e-09,0,-2.0,0,3.48e-06,0
3145.63670617,4641.58883361,2,1.35e-09,0,-2.0,0,1.37e-06,0
4641.58883361,5845.60800004,0,8.5e-10,0,-2.0,0,8.64e-07,0
7945.60800004,8860.09481198,0,1.29e-09,0,-2.0,0,1.31e-06,0
8873.63647044,9983.60800004,2,1.06e-09,0,-2.0,0,1.08e-06,0
