start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,0,1.24e-07,0,-2.0,0,0.000126,0
10.0,21.5443469003,4,1.44e-07,0,-2.0,0,0.000146,0
21.5443469003,46.4158883361,1,5.22e-08,0,-2.0,0,5.31e-05,0
46.4158883361,100.0,20,3.02e-05,1.42e-05,-2.21,0.464,2.14e-08,1.8e-08
100.0,215.443469003,6,2.06e-08,0,-2.0,0,2.1e-05,0
215.443469003,464.158883361,33,5.4e-06,2.6e-06,-1.64,0.291,1.71e-08,1.58e-08
464.158883361,1000.0,22,4.18e-06,1.85e-06,-2.24,0.405,2.81e-09,1.92e-09
1000.0,1407.56739038,0,2.83e-09,0,-2.0,0,2.87e-06,0
1421.11101562,2154.43469003,9,3.36e-09,0,-2.0,0,3.42e-06,0
2154.43469003,2171.08200002,0,3.82e-08,0,-2.0,0,3.89e-05,0
