start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,4,1.08e-07,0,-2.0,0,0.000109,0
10.0,21.5443469003,18,4.09e-05,3.13e-05,-1.65,0.496,1.25e-07,1.9e-07
21.5443469003,46.4158883361,7,6.62e-08,0,-2.0,0,6.73e-05,0
46.4158883361,100.0,0,2.54e-08,0,-2.0,0,2.58e-05,0
100.0,215.443469003,26,8.98e-06,4.77e-06,-1.59,0.307,3.31e-08,3.06e-08
215.443469003,464.158883361,6,9.93e-09,0,-2.0,0,1.01e-05,0
464.158883361,584.194000006,0,7.94e-09,0,-2.0,0,8.07e-06,0
4208.24470383,4641.58883361,1,3.5e-09,0,-2.0,0,3.56e-06,0
4641.58883361,6338.19400001,0,9.14e-10,0,-2.0,0,9.29e-07,0
