start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,4,1.61e-07,0,-2.0,0,0.000164,0
10.0,21.5443469003,5,1.95e-07,0,-2.0,0,0.000198,0
21.5443469003,46.4158883361,136,0.000316,7.21e-05,-2.12,0.216,2.66e-07,1.18e-07
46.4158883361,100.0,64,6.86e-05,2.53e-05,-1.78,0.248,1.38e-07,9.59e-08
100.0,215.443469003,45,3.35e-05,1.27e-05,-1.72,0.234,8.22e-08,5.51e-08
215.443469003,464.158883361,25,9.71e-06,7.02e-06,-1.8,0.441,1.88e-08,1.87e-08
464.158883361,1000.0,7,5.59e-09,0,-2.0,0,5.69e-06,0
1000.0,1628.32434785,0,2.63e-09,0,-2.0,0,2.67e-06,0
1641.8675372,2154.43469003,0,2.18e-09,0,-2.0,0,2.22e-06,0
2154.43469003,3951.83900005,4,1.43e-09,0,-2.0,0,1.46e-06,0
