start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
163.364000022,215.443469003,3,1.22e-07,0,-2.0,0,0.000124,0
215.443469003,464.158883361,75,6.15e-05,1.55e-05,-2.65,0.298,2.46e-08,6.73e-09
464.158883361,673.364000022,5,3.9e-08,0,-2.0,0,3.96e-05,0
809.364000022,1000.0,2,4.33e-08,0,-2.0,0,4.4e-05,0
1000.0,1439.36400002,0,2.21e-08,0,-2.0,0,2.25e-05,0
1709.36400002,1739.36400002,0,1.43e-07,0,-2.0,0,0.000145,0
1889.36400002,2099.36400002,0,3e-08,0,-2.0,0,3.05e-05,0
5045.36400002,5287.85396433,0,2.81e-08,0,-2.0,0,2.86e-05,0
6480.41475505,7200.36400002,1,2.14e-08,0,-2.0,0,2.18e-05,0
7650.36400002,7830.36400002,0,2.58e-08,0,-2.0,0,2.63e-05,0
