start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,2,1.06e-07,0,-2.0,0,0.000108,0
10.0,21.5443469003,0,5.82e-08,0,-2.0,0,5.92e-05,0
21.5443469003,46.4158883361,0,3.52e-08,0,-2.0,0,3.58e-05,0
46.4158883361,100.0,3,2.15e-08,0,-2.0,0,2.18e-05,0
100.0,139.84355551,64,6.41e-05,2.1e-05,-1.98,0.268,7.46e-08,4.92e-08
152.662769675,215.443469003,12,3.67e-08,0,-2.0,0,3.74e-05,0
215.443469003,464.158883361,42,2.37e-06,1.61e-06,-1.02,0.376,5.17e-08,4.67e-08
464.158883361,842.35800004,0,4.49e-09,0,-2.0,0,4.57e-06,0
9721.35800004,9991.35800004,0,1.74e-08,0,-2.0,0,1.77e-05,0
