start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,0,6.67e-08,0,-2.0,0,6.78e-05,0
10.0,21.5443469003,0,6.46e-08,0,-2.0,0,6.57e-05,0
21.5443469003,46.4158883361,16,5.54e-05,2.87e-05,-3.02,0.813,1.75e-08,1.02e-08
46.4158883361,100.0,21,4.88e-05,1.99e-05,-3.35,0.765,1.36e-08,5.75e-09
100.0,185.075000048,26,3.89e-05,1.45e-05,-4.05,0.994,9.3e-09,3.61e-09
3185.07500005,4136.5602861,0,1.42e-09,0,-2.0,0,1.44e-06,0
4858.10544425,5908.07500005,0,1.43e-09,0,-2.0,0,1.46e-06,0
8908.07500005,9988.07500005,0,1.18e-09,0,-2.0,0,1.2e-06,0
