start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,811,0.00299,0.000329,-2.68,0.156,1.18e-06,1.76e-07
10.0,21.5443469003,1430,0.00337,0.000309,-2.21,0.0971,2.38e-06,4.28e-07
21.5443469003,46.4158883361,357,0.000452,7.55e-05,-1.91,0.139,6.36e-07,2.39e-07
46.4158883361,100.0,218,0.000171,3.37e-05,-1.8,0.145,3.27e-07,1.39e-07
100.0,177.613000035,38,4.38e-05,1.76e-05,-2,0.317,4.87e-08,3.55e-08
3136.61300004,4641.58883361,31,7.14e-07,4.17e-07,-1.49,0.321,3.69e-09,3.51e-09
4641.58883361,4891.10035038,0,3.33e-09,0,-2.0,0,3.39e-06,0
5372.92134577,5909.61300004,0,1.59e-09,0,-2.0,0,1.62e-06,0
8868.61300004,9999.61300004,2,1.33e-09,0,-2.0,0,1.35e-06,0
