start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,0,2.74e-07,0,-2.0,0,0.000279,0
10.0,21.5443469003,8,4.76e-07,0,-2.0,0,0.000484,0
21.5443469003,46.4158883361,0,7.68e-08,0,-2.0,0,7.81e-05,0
46.4158883361,100.0,28,7.55e-05,3.22e-05,-2.2,0.41,5.4e-08,3.93e-08
100.0,215.443469003,13,4.58e-08,0,-2.0,0,4.66e-05,0
215.443469003,464.158883361,139,2.23e-05,5.57e-06,-2.11,0.232,1.91e-08,9.03e-09
464.158883361,1000.0,58,6.82e-06,2.33e-06,-1.94,0.265,8.71e-09,5.64e-09
1000.0,2154.43469003,29,1.62e-06,9.03e-07,-1.9,0.379,2.3e-09,2.03e-09
2154.43469003,2420.5742245,9,5.6e-09,0,-2.0,0,5.69e-06,0
2433.42321315,2523.08899999,4,1.74e-08,0,-2.0,0,1.77e-05,0
